feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
UniRef50_I3AW97	Fam_hx_stone	Yes	3.1978647758355	1.34150769987657	10	1	0.0972850409933253	0.504931754370906
UniRef50_A7A6N2	Fam_hx_stone	Yes	3.13404563334869	1.33702860785048	10	1	0.100850667218216	0.504931754370906
UniRef50_I3BM13	Fam_hx_stone	Yes	3.08909060548688	1.33374254577448	10	1	0.103451524581314	0.504931754370906
UniRef50_I3AT09	Fam_hx_stone	Yes	3.02986393066765	1.3292383996625	10	1	0.106994500966327	0.504931754370906
UniRef50_R5H0X0	Fam_hx_stone	Yes	3.02986393066765	1.3292383996625	10	1	0.106994500966327	0.504931754370906
UniRef50_A0A133P4B1	Fam_hx_stone	Yes	2.99253874135073	1.32629238015519	10	1	0.109297222242617	0.504931754370906
UniRef50_B3DRE0	Fam_hx_stone	Yes	2.99253874135073	1.32629238015519	10	1	0.109297222242617	0.504931754370906
UniRef50_I3B5L5	Fam_hx_stone	Yes	2.99253874135073	1.32629238015519	10	1	0.109297222242617	0.504931754370906
UniRef50_A7A2U7	Fam_hx_stone	Yes	2.93377682001693	1.32147593914052	10	1	0.11303520401055	0.504931754370906
UniRef50_C2GYL1	Fam_hx_stone	Yes	2.90585387687815	1.3191070004913	10	1	0.114860877340897	0.504931754370906
UniRef50_K0NZ18	Fam_hx_stone	Yes	2.90585387687815	1.3191070004913	10	1	0.114860877340897	0.504931754370906
UniRef50_A0A1B2YPR7	antibiotic_12m	yes	5.21687259543088	2.40754492932577	10	1	0.118803507424004	0.513650458568489
UniRef50_D1YJ89	antibiotic_12m	yes	2.74265291110441	1.3218511593315	10	1	0.129638261477078	0.552371722815376
UniRef50_A0A370WEI7	Fam_hx_stone	Yes	3.04792285483687	1.4914380260171	10	1	0.133581503709286	0.557050366452772
UniRef50_P00414..Cytochrome.c.oxidase.subunit.3	sex	male	2.81020020834039	1.38005642365347	10	1	0.134525768769207	0.557050366452772
